addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
0,1号风机有功功率,风机,1,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
2,1号风机无功功率,风机,1,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
4,1号风机风速,风机,1,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
6,1号风机风向,风机,1,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
8,1号风机发电机转速,风机,1,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
10,1号风机风机状态,风机,1,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
12,2号风机有功功率,风机,2,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
14,2号风机无功功率,风机,2,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
16,2号风机风速,风机,2,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
18,2号风机风向,风机,2,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
20,2号风机发电机转速,风机,2,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
22,2号风机风机状态,风机,2,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
24,3号风机有功功率,风机,3,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
26,3号风机无功功率,风机,3,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
28,3号风机风速,风机,3,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
30,3号风机风向,风机,3,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
32,3号风机发电机转速,风机,3,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
34,3号风机风机状态,风机,3,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
36,4号风机有功功率,风机,4,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
38,4号风机无功功率,风机,4,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
40,4号风机风速,风机,4,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
42,4号风机风向,风机,4,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
44,4号风机发电机转速,风机,4,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
46,4号风机风机状态,风机,4,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
48,5号风机有功功率,风机,5,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
50,5号风机无功功率,风机,5,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
52,5号风机风速,风机,5,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
54,5号风机风向,风机,5,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
56,5号风机发电机转速,风机,5,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
58,5号风机风机状态,风机,5,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
60,6号风机有功功率,风机,6,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
62,6号风机无功功率,风机,6,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
64,6号风机风速,风机,6,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
66,6号风机风向,风机,6,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
68,6号风机发电机转速,风机,6,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
70,6号风机风机状态,风机,6,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
72,7号风机有功功率,风机,7,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
74,7号风机无功功率,风机,7,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
76,7号风机风速,风机,7,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
78,7号风机风向,风机,7,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
80,7号风机发电机转速,风机,7,发电机转速,,1,0,1,3,,0#167#0#1#0,,,,,,,,,
82,7号风机风机状态,风机,7,风机状态float,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
84,8号风机有功功率,风机,8,有功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
86,8号风机无功功率,风机,8,无功功率,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
88,8号风机风速,风机,8,风速,,1,0,1,3,,0#167#0#1#0,0#169#0#1#0,,,,0#169#0#1#0,,,0#169#0#1#0,
90,8号风机风向,风机,8,风向,,1,0,1,3,,0#167#0#1#0,0#168#2#1#0,,,,0#168#2#1#0,,,0#168#2#1#0,
