addr_val,addr_name,did_core_name0,did_core_name1,did_core_name2,did_suffix_name,append_add_num,offset_to_local,is_it_used,addr_type,1mi_x_val,1mi_rtv_val,1mi_avg_val,1mi_sdv_val,5mi_x_val,5mi_rtv_val,5mi_avg_val,5mi_sdv_val,15mi_sdv_val,15mi_avg_val,15mi_x_val
0,10米风速瞬时值,10m,测风塔1,风速实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
2,30米风速瞬时值,30m,测风塔1,风速实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
4,50米风速瞬时值,50m,测风塔1,风速实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
6,70米风速瞬时值,70m,测风塔1,风速实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
8,100米风速瞬时值,100m,测风塔1,风速实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
10,10米风向瞬时值,10m,测风塔1,风向实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
12,30米风向瞬时值,30m,测风塔1,风向实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
14,50米风向瞬时值,50m,测风塔1,风向实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
16,70米风向瞬时值,70m,测风塔1,风向实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
18,100米风向瞬时值,100m,测风塔1,风向实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
20,10米气温瞬时值,10m,测风塔1,温度实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
22,10米湿度瞬时值,10m,测风塔1,湿度实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
24,10米气压瞬时值,10m,测风塔1,气压实时值,,1,0,1,3,0#167#0#1#0,,,,,,,,,,
26,10米风速五分钟平均值,10m,测风塔1,风速平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
28,10米风速五分钟标准差,10m,测风塔1,风速标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
30,10米风速五分钟最大值,10m,测风塔1,风速最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
32,10米风速五分钟最小值,10m,测风塔1,风速最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
34,10米风速五分钟极大值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
36,10米风速五分钟极小值,10m,测风塔1,,,1,0,0,3,,,,,,,,,,,
38,30米风速五分钟平均值,30m,测风塔1,风速平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
40,30米风速五分钟标准差,30m,测风塔1,风速标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
42,30米风速五分钟最大值,30m,测风塔1,风速最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
44,30米风速五分钟最小值,30m,测风塔1,风速最小值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
46,30米风速五分钟极大值,30m,测风塔1,,,1,0,0,3,,,,,,,,,,,
48,30米风速五分钟极小值,30m,测风塔1,,,1,0,0,3,,,,,,,,,,,
50,50米风速五分钟平均值,50m,测风塔1,风速平均值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
52,50米风速五分钟标准差,50m,测风塔1,风速标准差值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,0#169#0#1#0
54,50米风速五分钟最大值,50m,测风塔1,风速最大值,,1,0,1,3,0#167#0#1#0,,,,0#167#0#1#0,,,,,,
